HEID,Loan_Amount,Mort_Bal,Home_Val,Reason_HE,Occupation,YOJ,Num_Derog,Num_Delinq,CL_Age,Num_Inq,Num_CL,Debt_Inc,Default
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,,1
2,1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,,1
3,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,,1
4,1500,,,,,,,,,,,,1
5,1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,,0
6,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356,1
7,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,,1
8,1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409,1
9,2000,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,,1
10,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,,1
11,2000,22608,,,,18,,,,,,,1
12,2000,20627,29800,HomeImp,Office,11,0,1,122.5333333,1,9,,1
13,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,,1
14,2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,,0
15,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,,1
16,2200,24280,34687,HomeImp,Other,,0,1,300.8666667,0,8,,1
17,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,,1
18,2200,23030,,,,19,,,,,,3.7113123,1
19,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,,1
20,2300,102370,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318,0
21,2300,37626,46200,HomeImp,Other,3,0,1,122.2666667,1,14,,1
22,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,,1
23,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,,1
24,2400,18000,,HomeImp,Mgr,22,,2,121.7333333,0,10,,1
25,2400,,17180,HomeImp,Other,,0,0,14.56666667,3,4,,1
26,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073,1
27,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705,0
28,2500,15000,20200,HomeImp,,18,0,0,136.0666667,1,19,,1
29,2500,25116,36350,HomeImp,Other,10,1,2,276.9666667,0,9,,1
30,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,,0
31,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.7333333,0,12,,0
32,2800,50795,63100,HomeImp,Self,26,2,15,145.6333333,3,45,,1
33,2800,4000,60850,HomeImp,Other,16,4,0,112.6333333,2,9,,1
34,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,,1
35,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.05113629,0
36,2900,104373,120702,HomeImp,Office,2,0,0,101.5402975,0,13,29.91585903,0
37,2900,7750,67996,HomeImp,Other,16,3,0,122.2046628,2,8,36.211348,1
38,2900,61962,70915,DebtCon,Mgr,2,0,0,282.8016592,3,37,49.20639579,1
39,3000,104570,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327,0
